,TimeKey,Open,Close,High,Low,Volume
0,20170103,47.28,46.3,47.34,46.14,6737800
1,20170104,46.63,46.7,47.44,46.35,5859600
2,20170105,46.52,45.89,46.93,45.61,6825300
3,20170106,45.85,46.21,46.72,45.47,7260200
4,20170109,46.01,47.08,47.34,45.78,4739100
5,20170110,47.0,48.48,48.51,46.97,7483800
6,20170111,49.29,48.64,49.9,48.1,6925800
7,20170112,48.67,48.1,49.0,46.84,5447300
8,20170113,48.16,47.65,48.43,47.54,3541700
9,20170117,47.56,46.75,47.75,46.67,5350800
10,20170118,47.4,47.64,47.8,46.65,5176500
11,20170119,47.64,47.26,48.09,46.88,3729300
12,20170120,47.54,48.0,48.16,47.24,5611800
13,20170123,47.9,46.94,48.09,46.75,4284200
14,20170124,47.05,47.54,47.8,46.8,4926700
15,20170125,47.9,47.91,48.21,47.61,5075800
16,20170126,48.43,49.59,49.71,48.33,10332800
17,20170127,50.0,46.95,50.0,46.72,19411100
18,20170130,45.62,44.9,45.92,43.86,16786100
19,20170131,44.79,44.25,44.84,43.74,11719800
20,20170201,44.75,44.05,45.0,43.91,7955500
21,20170202,43.61,44.01,44.52,43.57,7607700
22,20170203,44.31,44.2,44.55,43.76,6357900
23,20170206,44.8,45.3,45.6,44.74,6496100
24,20170207,45.75,45.17,46.13,45.01,6120000
25,20170208,45.26,45.06,45.26,44.51,4329900
26,20170209,45.07,46.3,46.6,44.94,7089900
27,20170210,46.62,46.45,46.7,46.17,4040600
28,20170213,46.56,47.41,47.78,46.5,6158600
29,20170214,47.26,46.57,47.28,46.45,6271700
30,20170215,47.59,47.54,48.05,46.93,8394800
31,20170216,47.5,46.97,47.65,46.66,5681800
32,20170217,46.83,46.91,47.1,46.43,4581600
33,20170221,47.01,46.81,47.27,46.58,4672000
34,20170222,46.5,46.32,46.7,45.87,5799600
35,20170223,46.42,46.1,47.32,45.89,5247000
36,20170224,46.0,46.28,46.3,45.58,4489600
37,20170227,46.18,46.32,46.36,45.68,4130500
