TimeKey,Open,Close,High,Low,Volume,Fluctuation,Growth
2017-01-03,47.28,46.3,47.34,46.14,6737800,0.21999999999999886,0.0
2017-01-04,46.63,46.7,47.44,46.35,5859600,1.019999999999996,0.4000000000000057
2017-01-05,46.52,45.89,46.93,45.61,6825300,0.6899999999999977,-0.8100000000000023
2017-01-06,45.85,46.21,46.72,45.47,7260200,0.8900000000000006,0.3200000000000003
2017-01-09,46.01,47.08,47.34,45.78,4739100,0.490000000000002,0.8699999999999974
2017-01-10,47.0,48.48,48.51,46.97,7483800,0.060000000000002274,1.3999999999999986
2017-01-11,49.29,48.64,49.9,48.1,6925800,1.1499999999999986,0.1600000000000037
2017-01-12,48.67,48.1,49.0,46.84,5447300,1.5899999999999963,-0.5399999999999991
2017-01-13,48.16,47.65,48.43,47.54,3541700,0.38000000000000256,-0.45000000000000284
2017-01-17,47.56,46.75,47.75,46.67,5350800,0.269999999999996,-0.8999999999999986
2017-01-18,47.4,47.64,47.8,46.65,5176500,0.9099999999999966,0.8900000000000006
2017-01-19,47.64,47.26,48.09,46.88,3729300,0.8299999999999983,-0.38000000000000256
2017-01-20,47.54,48.0,48.16,47.24,5611800,0.45999999999999375,0.740000000000002
2017-01-23,47.9,46.94,48.09,46.75,4284200,0.38000000000000256,-1.0600000000000023
2017-01-24,47.05,47.54,47.8,46.8,4926700,0.509999999999998,0.6000000000000014
2017-01-25,47.9,47.91,48.21,47.61,5075800,0.5900000000000034,0.36999999999999744
2017-01-26,48.43,49.59,49.71,48.33,10332800,0.21999999999999886,1.6800000000000068
2017-01-27,50.0,46.95,50.0,46.72,19411100,0.23000000000000398,-2.6400000000000006
2017-01-30,45.62,44.9,45.92,43.86,16786100,1.3400000000000034,-2.0500000000000043
2017-01-31,44.79,44.25,44.84,43.74,11719800,0.5600000000000023,-0.6499999999999986
2017-02-01,44.75,44.05,45.0,43.91,7955500,0.39000000000000057,-0.20000000000000284
2017-02-02,43.61,44.01,44.52,43.57,7607700,0.5500000000000043,-0.03999999999999915
2017-02-03,44.31,44.2,44.55,43.76,6357900,0.6799999999999997,0.19000000000000483
2017-02-06,44.8,45.3,45.6,44.74,6496100,0.35999999999999943,1.0999999999999943
2017-02-07,45.75,45.17,46.13,45.01,6120000,0.5400000000000063,-0.12999999999999545
2017-02-08,45.26,45.06,45.26,44.51,4329900,0.5500000000000043,-0.10999999999999943
2017-02-09,45.07,46.3,46.6,44.94,7089900,0.4300000000000068,1.2399999999999949
2017-02-10,46.62,46.45,46.7,46.17,4040600,0.36000000000000654,0.15000000000000568
2017-02-13,46.56,47.41,47.78,46.5,6158600,0.4300000000000068,0.9599999999999937
2017-02-14,47.26,46.57,47.28,46.45,6271700,0.14000000000000057,-0.8399999999999963
2017-02-15,47.59,47.54,48.05,46.93,8394800,1.0699999999999932,0.9699999999999989
2017-02-16,47.5,46.97,47.65,46.66,5681800,0.46000000000000085,-0.5700000000000003
2017-02-17,46.83,46.91,47.1,46.43,4581600,0.5900000000000034,-0.060000000000002274
2017-02-21,47.01,46.81,47.27,46.58,4672000,0.4900000000000091,-0.09999999999999432
2017-02-22,46.5,46.32,46.7,45.87,5799600,0.6500000000000057,-0.490000000000002
2017-02-23,46.42,46.1,47.32,45.89,5247000,1.1099999999999994,-0.21999999999999886
2017-02-24,46.0,46.28,46.3,45.58,4489600,0.4399999999999977,0.17999999999999972
2017-02-27,46.18,46.32,46.36,45.68,4130500,0.5399999999999991,0.03999999999999915
2017-02-28,46.32,46.36,46.72,46.03,4935600,0.6499999999999986,0.03999999999999915
2017-03-01,46.79,47.09,48.14,46.7,8278900,1.1399999999999935,0.730000000000004
2017-03-02,46.67,45.72,46.74,45.64,7590700,0.14999999999999858,-1.3700000000000045
2017-03-03,45.85,46.82,47.26,45.77,7256900,0.519999999999996,1.1000000000000014
2017-03-06,46.41,45.31,46.68,44.38,11336600,1.2000000000000028,-1.509999999999998
2017-03-07,45.02,44.84,45.23,44.56,4565300,0.4899999999999949,-0.46999999999999886
2017-03-08,44.79,44.89,45.3,44.6,5520400,0.5999999999999943,0.04999999999999716
2017-03-09,44.5,43.33,44.93,43.25,9330100,0.509999999999998,-1.5600000000000023
2017-03-10,43.46,43.9,43.95,42.97,6842300,0.5400000000000063,0.5700000000000003
2017-03-13,43.73,42.37,44.12,42.26,8882300,0.5,-1.5300000000000011
2017-03-14,42.06,41.21,42.1,40.84,10208500,0.4099999999999966,-1.1599999999999966
2017-03-15,40.5,42.09,42.19,40.21,13986200,0.38999999999999346,0.8800000000000026
2017-03-16,42.18,42.13,42.35,41.45,7058300,0.8500000000000014,0.03999999999999915
2017-03-17,42.0,41.72,42.21,41.6,10185800,0.3299999999999983,-0.4100000000000037
2017-03-20,42.18,41.7,42.42,41.45,6229800,0.490000000000002,-0.01999999999999602
2017-03-21,41.88,40.42,41.98,40.34,7938700,0.1799999999999926,-1.2800000000000011
2017-03-22,39.78,40.35,40.55,39.21,9943000,0.769999999999996,-0.07000000000000028
2017-03-23,40.7,41.41,41.86,40.48,9516600,0.6700000000000088,1.0599999999999952
2017-03-24,41.69,41.73,42.07,41.42,6596600,0.6099999999999994,0.3200000000000003
2017-03-27,41.07,41.74,41.89,40.56,6050500,0.6599999999999966,0.010000000000005116
2017-03-28,41.83,42.6,42.93,41.55,6185800,0.6099999999999994,0.8599999999999994
2017-03-29,42.69,41.96,42.76,41.87,5331400,0.1600000000000037,-0.6400000000000006
2017-03-30,41.85,42.54,42.64,41.79,3681400,0.1600000000000037,0.5799999999999983
2017-03-31,42.37,42.3,42.94,42.27,5427700,0.5999999999999943,-0.240000000000002
2017-04-03,42.33,42.45,42.57,41.63,5764700,0.8199999999999932,0.15000000000000568
2017-04-04,42.09,40.9,42.23,40.82,7254700,0.21999999999999176,-1.5500000000000043
2017-04-05,41.15,41.31,42.13,41.06,7012700,0.9099999999999966,0.4100000000000037
2017-04-06,41.4,41.72,41.96,41.16,3627600,0.480000000000004,0.4099999999999966
2017-04-07,41.53,41.81,42.1,41.28,4137000,0.5399999999999991,0.09000000000000341
2017-04-10,41.81,42.32,42.67,41.62,4650500,0.5400000000000063,0.509999999999998
2017-04-11,42.78,43.93,43.95,42.41,10269600,0.3900000000000077,1.6099999999999994
